"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2008","1,333.3","1,374.8","1,377.7","1,330.7","","-2.91%"
"01/16/2008","1,373.2","1,377.4","1,392.0","1,364.3","","-0.56%"
"01/15/2008","1,380.9","1,411.9","1,411.9","1,380.6","","-2.49%"
"01/14/2008","1,416.3","1,402.9","1,417.9","1,402.9","","1.09%"
"01/11/2008","1,401.0","1,419.9","1,419.9","1,394.8","","-1.36%"
"01/10/2008","1,420.3","1,406.8","1,429.1","1,395.3","","0.79%"
"01/09/2008","1,409.1","1,390.3","1,409.2","1,378.7","","1.36%"
"01/08/2008","1,390.2","1,415.7","1,430.3","1,388.3","","-1.84%"
"01/07/2008","1,416.2","1,414.1","1,423.9","1,403.4","","0.32%"
"01/04/2008","1,411.6","1,444.0","1,444.0","1,411.2","","-2.46%"
"01/03/2008","1,447.2","1,447.6","1,456.8","1,443.7","","0.00%"
"01/02/2008","1,447.2","1,468.0","1,471.8","1,442.1","","-1.44%"
"12/31/2007","1,468.4","1,475.3","1,475.8","1,465.1","","-0.69%"
"12/28/2007","1,478.5","1,479.8","1,488.0","1,471.7","","0.15%"
"12/27/2007","1,476.3","1,495.1","1,495.1","1,475.9","","-1.43%"
"12/26/2007","1,497.7","1,495.1","1,498.8","1,488.2","","0.08%"
"12/24/2007","1,496.4","1,484.6","1,497.6","1,484.6","","0.81%"
"12/21/2007","1,484.5","1,463.2","1,485.4","1,463.2","","1.67%"
"12/20/2007","1,460.1","1,456.4","1,461.5","1,447.2","","0.49%"
"12/19/2007","1,453.0","1,454.7","1,464.4","1,445.3","","-0.14%"
"12/18/2007","1,455.0","1,445.9","1,460.2","1,435.7","","0.63%"
"12/17/2007","1,445.9","1,465.1","1,465.1","1,445.4","","-1.50%"
"12/14/2007","1,467.9","1,486.2","1,486.7","1,467.8","","-1.37%"
"12/13/2007","1,488.4","1,483.3","1,489.4","1,469.2","","0.12%"
"12/12/2007","1,486.6","1,487.6","1,512.0","1,468.2","","0.61%"
"12/11/2007","1,477.7","1,516.7","1,523.6","1,476.0","","-2.53%"
"12/10/2007","1,516.0","1,505.1","1,518.3","1,505.0","","0.75%"
"12/07/2007","1,504.7","1,508.6","1,510.6","1,502.7","","-0.18%"
"12/06/2007","1,507.3","1,484.6","1,508.0","1,482.2","","1.50%"
"12/05/2007","1,485.0","1,465.2","1,486.1","1,465.2","","1.52%"
"12/04/2007","1,462.8","1,471.3","1,471.3","1,460.7","","-0.65%"
"12/03/2007","1,472.4","1,479.6","1,481.2","1,470.1","","-0.59%"
"11/30/2007","1,481.1","1,471.8","1,488.9","1,470.9","","0.78%"
"11/29/2007","1,469.7","1,467.4","1,473.8","1,458.4","","0.05%"
"11/28/2007","1,469.0","1,432.9","1,471.6","1,432.9","","2.86%"
"11/27/2007","1,428.2","1,409.6","1,429.5","1,407.4","","1.49%"
"11/26/2007","1,407.2","1,440.7","1,446.1","1,406.1","","-2.32%"
"11/23/2007","1,440.7","1,417.6","1,440.9","1,417.6","","1.69%"
"11/21/2007","1,416.8","1,434.7","1,436.4","1,415.6","","-1.59%"
"11/20/2007","1,439.7","1,434.5","1,452.6","1,419.3","","0.45%"
"11/19/2007","1,433.3","1,456.7","1,456.7","1,430.4","","-1.75%"
"11/16/2007","1,458.7","1,453.1","1,462.2","1,444.0","","0.52%"
"11/15/2007","1,451.2","1,468.0","1,472.7","1,443.5","","-1.32%"
"11/14/2007","1,470.6","1,483.4","1,492.1","1,466.5","","-0.71%"
"11/13/2007","1,481.1","1,441.3","1,481.4","1,441.3","","2.91%"
"11/12/2007","1,439.2","1,453.7","1,464.9","1,438.5","","-1.00%"
"11/09/2007","1,453.7","1,467.6","1,474.1","1,448.5","","-1.43%"
"11/08/2007","1,474.8","1,475.3","1,482.5","1,450.3","","-0.06%"
"11/07/2007","1,475.6","1,515.5","1,515.5","1,475.0","","-2.94%"
"11/06/2007","1,520.3","1,505.3","1,520.8","1,499.1","","1.20%"
"11/05/2007","1,502.2","1,505.6","1,510.8","1,489.9","","-0.50%"
"11/02/2007","1,509.7","1,511.1","1,513.2","1,492.5","","0.08%"
